Hands played,Percent won,Bet size,Hit zero,Percent per hour
4.0,-60.1243987324305,1.0,0.0,-2.1043539556350668
4.0,-10.691384597013098,1.0,0.0,-0.3741984608954584
4.0,75.52315545826491,1.0,0.0,2.643310441039272
4.0,-40.012005567648785,1.0,0.0,-1.4004201948677075
4.0,-56.634410241521216,1.0,0.0,-1.9822043584532432
4.0,199.40297132694047,1.0,0.0,6.979103996442916
4.0,-93.28352985013693,1.0,0.0,-3.264923544754793
4.0,87.05336336454407,1.0,0.0,3.0468677177590417
4.0,-46.42562734144018,1.0,0.0,-1.624896956950406
4.0,-4.518610557692824,1.0,0.0,-0.15815136951924885
4.0,36.53691989408552,1.0,0.0,1.278792196292993
4.0,-80.75700269703428,1.0,0.0,-2.8264950943962
4.0,-47.73972304760642,1.0,0.0,-1.6708903066662246
